,district,current R,1 week projection,2 week projection,stderr
0,MUNGER,9.047189562170354,20.31325494920884,31.579320336247335,inf
1,PATNA,12.343417706591845,28.22420249582042,44.104987285049006,inf
2,SIWAN,0.0,0.0,0.0,inf
3,NALANDA,1.0,0.0,0.0,
4,LAKHISARAI,1.0,0.0,0.0,
5,GOPALGANJ,4.720192638574572,9.92846233257897,15.13673202658337,inf
6,GAYA,,,,
7,BEGUSARAI,1.262768888741046,1.6306453329785104,1.9985217772159745,inf
8,SARAN,0.30685281944005527,0.0,0.0,inf
9,BHAGALPUR,5.02359478108526,10.656627474604619,16.289660168123987,inf
10,NAWADA,0.0,0.0,0.0,inf
11,VAISHALI,1.0,1.0,1.0000000000000002,
12,BUXAR,1.0,1.0,1.0,inf
13,BHOJPUR,9.958797346140198,22.501113630736477,35.04342991533276,inf
14,ROHTAS,0.0,0.0,0.0,2.0684204231609996e-08
15,EAST CHAMPARAN,6.493061443340559,14.183347464017341,21.87363348469412,inf
16,BANKA,0.0,0.0,0.0,inf
17,KAIMUR,4.465735902799723,9.317766166719336,14.169796430638952,inf
18,MADHEPURA,0.0,0.0,0.0,inf
19,AURANGABAD,1.6862843371880647,2.647082409251355,3.607880481314646,inf
20,ARWAL,0.0,0.0,0.0,inf
21,JEHANABAD,0.0,0.0,0.0,inf
22,MADHUBANI,0.0,0.0,0.0,inf
23,PURNEA,2.884429505940951,5.522630814258282,8.160832122575613,inf
24,DARBHANGA,7.931471805599453,17.635532333438686,27.33959286127792,inf
25,ARARIA,1.0,0.0,0.0,
26,SHEIKPURA,1.0,0.0,0.0,
27,SITAMARHI,1.0,0.0,0.0,
28,WEST CHAMPARAN,,,,
29,KATIHAR,3.011797390542625,5.828313737302301,8.644830084061972,inf
30,SHEOHAR,1.0,0.0,0.0,
31,SAMASTIPUR,1.0,0.0,0.0,
32,KISHANGANJ,2.7328679513998617,5.158883083359669,7.584898215319475,inf
33,SUPAUL,0.0,0.0,0.0,inf
34,SAHARSA,2.3732653608351377,4.29583686600433,6.218408371173522,inf
35,KHAGARIA,12.989476363991844,29.77474327358043,46.56001018316901,inf
36,MUZZAFARPUR,0.49316861486479446,0.0,0.0,inf
