date,net_daily_cases,net_daily_cases_CI_upper,net_daily_cases_CI_lower
2020-03-17,1.5750000000000002,6.0,0.0
2020-03-18,1.5545454545454545,6.0,0.0
2020-03-19,2.754237288135593,8.0,0.0
2020-03-20,7.428600201409863,16.0,1.0
2020-03-21,6.699793814432987,15.0,1.0
2020-03-22,6.322274387063122,14.0,1.0
2020-03-23,6.091382934005881,13.0,1.0
2020-03-24,6.092784230904604,13.0,1.0
2020-03-25,7.282212389380539,15.0,2.0
2020-03-26,8.712177121771216,17.0,2.0
2020-03-27,9.166139240506334,18.0,3.0
2020-03-28,14.056375838926172,24.0,6.0
2020-03-29,13.720793374019191,24.0,5.0
2020-03-30,14.692078460958138,25.0,6.0
2020-03-31,24.904218765883893,39.0,13.0
2020-04-01,24.265950004265843,38.0,13.0
2020-04-02,24.007556045571473,37.0,13.0
2020-04-03,25.286575763395437,39.0,14.0
2020-04-04,25.588851121685924,39.0,14.0
2020-04-05,29.577827692922025,44.0,17.0
2020-04-06,29.134301780693516,43.0,17.0
2020-04-07,28.833070993259827,43.0,17.0
2020-04-08,28.66139904961872,42.0,17.0
2020-04-09,29.14576695416879,43.0,17.0
2020-04-10,30.275896668847935,44.0,18.0
2020-04-11,30.328211346903363,44.0,18.0
2020-04-12,30.59542214691086,45.0,18.0
2020-04-13,36.825067064083434,52.0,23.0
2020-04-14,36.430245118404635,52.0,23.0
2020-04-15,36.00093203883499,51.0,22.0
2020-04-16,39.46666666666664,55.0,25.0
2020-04-17,39.45410299943409,55.0,25.0
2020-04-18,41.78124999999999,58.0,27.0
2020-04-19,42.92451522855279,59.0,28.0
2020-04-20,43.80202788339668,60.0,29.0
2020-04-21,43.66970059880231,60.0,29.0
2020-04-22,43.87143397654175,60.0,29.0
2020-04-23,50.15574505215553,68.0,34.0
2020-04-24,49.25811850181648,67.0,33.0
2020-04-25,54.27819374393224,73.0,38.0
2020-04-26,54.081765326509114,72.0,37.0
2020-04-27,52.94143465863581,71.0,36.0
2020-04-28,52.828419090686886,71.0,36.0
2020-04-29,52.71802996232811,71.0,36.0
2020-04-30,52.450675467792685,70.0,36.0
2020-05-01,52.504003077225846,70.0,36.0
2020-05-02,55.92695922077022,74.0,39.0
2020-05-03,54.56958428114605,73.0,38.0
2020-05-04,61.94691229399498,81.0,44.0
2020-05-05,57.86241771258041,77.0,41.0
2020-05-06,61.277314267361355,81.0,44.0
2020-05-07,65.96298569796856,86.0,48.0
2020-05-08,65.85285750862457,86.0,47.0
2020-05-09,65.59992212596099,86.0,47.0
2020-05-10,70.61295921806531,91.0,52.0
2020-05-11,70.47824377220977,91.0,51.0
2020-05-12,79.20281599038991,101.0,59.0
2020-05-14,83.61706968235511,106.0,63.0
2020-05-16,83.80409964503886,106.0,63.0
2020-05-17,91.918706669121,115.0,70.0
2020-05-18,88.19192277034826,111.0,67.0
2020-05-19,88.0991094799135,111.0,67.0
2020-05-20,88.93103639150013,112.0,67.0
2020-05-21,97.17291823583575,121.0,75.0
2020-05-22,96.0500344124394,120.0,74.0
2020-05-23,95.99922126624224,120.0,74.0
2020-05-24,97.543807088487,122.0,75.0
2020-05-25,91.1322257195456,114.0,69.0
2020-05-26,91.10653569910261,114.0,69.0
2020-05-27,93.11794615646367,117.0,71.0
2020-05-28,100.29411424180857,125.0,77.0
2020-05-29,105.37104945635772,130.0,82.0
2020-05-30,107.02361116601489,132.0,83.0
2020-05-31,107.42010936086882,133.0,84.0
2020-06-01,124.3166144636373,151.0,99.0
2020-06-02,124.48435720626581,152.0,99.0
2020-06-03,133.8987314351071,162.0,107.0
2020-06-04,134.91882646733512,163.0,108.0
2020-06-05,127.44770454539332,155.0,102.0
2020-06-06,140.11447078229477,169.0,113.0
2020-06-07,136.98603239020855,165.0,110.0
2020-06-08,146.95864551859265,176.0,119.0
2020-06-09,146.8140134778034,176.0,119.0
2020-06-10,146.26300102846412,176.0,119.0
2020-06-11,140.50524505530933,169.0,113.0
2020-06-12,163.06854122077368,194.0,134.0
2020-06-13,102.74373941683095,136.0,74.0
2020-06-14,117.1355597477384,149.0,88.0
2020-06-15,149.48940694804236,184.0,118.0
2020-06-16,152.81205113002216,186.0,122.0
2020-06-17,175.61268642230365,211.0,142.0
2020-06-19,164.22437224632156,198.0,133.0
2020-06-21,140.96251058620297,172.0,112.0
2020-06-23,165.83298277675306,199.0,134.0
2020-06-24,168.30861800771152,202.0,137.0
2020-06-26,193.41696972053253,229.0,160.0
2020-06-27,192.06207825938313,227.0,159.0
2020-06-30,189.181410037452,224.0,156.0
2020-07-01,174.93146578026574,208.0,144.0
2020-07-02,173.0,206.0,162.0
2020-07-03,189.0,204.0,160.0
2020-07-04,198.0,222.0,176.0
2020-07-05,194.0,232.0,185.0
2020-07-06,205.0,228.0,181.0
2020-07-07,206.0,240.0,192.0
2020-07-08,229.0,241.0,193.0
2020-07-09,241.0,266.0,215.0
2020-07-10,248.0,280.0,227.0
2020-07-11,242.0,287.0,234.0
2020-07-12,267.0,281.0,228.0
2020-07-13,304.0,308.0,253.0
2020-07-14,330.0,349.0,290.0
2020-07-15,347.0,378.0,316.0
